13A,8,AK,1
220,24,AL,1
220,25,FL,1
13A,10,KY,1
290,11,MT,2
13C,11,TN,7
13B,21,UT,4
23C,12,WV,3
100,25,OH,1
240,10,WV,1
13B,20,AR,7
13B,52,CA,20
290,10,CT,8
13B,20,FL,23
13B,4,NC,2
290,13,SD,3
290,22,TX,8
23H,20,UT,6
290,20,UT,30
13B,11,VA,2
290,18,VA,20
13A,18,ND,1
13C,14,OR,1
13B,50,SC,2
23F,18,SC,1
23H,22,VA,1
13A,18,AL,1
290,52,MI,14
250,12,OK,1
13B,53,WA,4
240,20,MO,1
290,39,MT,1
13A,18,SD,1
13B,13,AK,4
13B,20,AZ,56
23H,22,CO,1
13A,25,FL,8
290,11,MA,11
23H,22,MA,7
13C,50,MI,2
13B,25,NH,1
13C,21,OH,17
290,22,RI,3
290,4,TX,28
13B,9,TX,5
13C,21,VA,6
13C,12,WA,6
290,22,AK,1
13B,8,AZ,5
13C,20,NB,6
13B,21,NB,2
13C,8,NC,6
250,7,VA,1
13B,53,DC,2
13C,23,GA,1
290,53,MO,2
23C,24,MI,1
09A,13,FL,1
290,3,VA,1
13C,50,CA,12
13A,18,KY,3
13B,21,MA,11
220,53,KY,1
290,10,SC,1
290,23,MO,1
23D,7,OH,1
240,18,OH,6
220,21,OH,2
13A,12,TX,1
23B,21,WA,1
26B,14,KY,1
240,20,OK,1
09A,4,SC,1
370,52,MA,1
13C,13,CT,42
13B,18,GA,4
13B,11,ID,1
13C,2,MA,1
13B,25,MA,33
23E,20,SC,1
13C,7,SC,2
290,44,SC,1
13C,25,TN,8
13B,5,TX,3
13A,18,WA,14
13C,12,CT,1
13B,11,LA,2
13C,20,MD,3
23H,13,NB,2
13B,25,NB,3
23D,20,VA,2
11A,20,NC,1
23C,8,TX,1
35B,13,WV,1
26A,8,MA,1
09A,7,TN,1
290,53,CO,2
120,18,KY,3
23F,18,KY,4
13C,20,MA,266
13C,23,OH,16
120,18,OR,1
13C,25,SD,1
35B,20,UT,3
13A,22,WA,7
13A,19,CA,1
290,18,DC,2
13B,21,TX,6
290,24,NH,1
23H,20,OR,2
290,8,GA,1
13B,55,IL,1
13A,2,IN,1
26A,2,MA,2
290,17,CA,1
35A,7,SC,2
120,21,WA,1
13B,16,CO,1
290,25,FL,18
290,18,ID,3
200,20,IL,2
290,25,ME,5
13B,20,MI,115
13A,1,MN,1
290,21,NC,5
13B,22,TX,10
13C,14,KS,3
200,4,SC,1
13B,12,WV,1
210,20,KS,1
240,13,KY,1
200,20,OK,2
13A,9,AL,1
220,5,AZ,1
290,54,WA,1
13C,2,NJ,3
13C,20,CA,315
23H,21,KY,2
13A,21,MA,4
290,22,MD,23
13A,15,MO,2
290,7,NC,4
220,20,OH,60
13C,20,PA,37
13A,53,SC,1
220,20,TN,15
290,11,IL,2
13B,54,IN,1
23G,20,KS,1
23G,13,OH,1
13B,10,OK,1
290,50,AZ,3
23H,7,IL,1
250,2,MA,2
35A,23,MO,1
220,8,KY,1
290,53,ME,1
13A,8,NB,1
13B,50,UT,1
13B,23,CA,11
23D,20,CO,2
290,18,CT,10
220,20,IL,5
220,20,NC,5
290,13,OH,51
13A,20,TN,48
23H,13,TN,2
290,3,TX,3
